sE_start,sI_start,rE_start,rI_start,Y_start,sE_end,sI_end,rE_end,rI_end,Y_end,LE1,LE2,LE3,LE4,LE5
0.43333333333333335,0.8181818181818182,0.09090909090909091,0.1919191919191919,7.272727272727273e-5,0.6098771360443124,0.8471115881917776,0.14087692830288298,0.7238668486638364,9.99984220886494e-5,-2.92624634094627e-5,-0.19430291176521652,-0.41994692366107156,-0.8759061937672283,-Inf
0.3303030303030303,0.6090909090909091,0.15151515151515152,0.13131313131313133,2.2222222222222223e-5,0.6217969022404363,0.8446474698368235,0.15305032838477492,0.7254058228340056,9.999952072728778e-5,-2.5654767572642635e-5,-0.19430701542493237,-0.41994704153847395,-0.8759100123091454,-Inf
0.6651515151515152,0.990909090909091,0.020202020202020204,0.15151515151515152,9.898989898989899e-5,0.6502441119070388,0.8374178285570547,0.1869084930040405,0.7216262699289905,9.999997206918315e-5,-2.1790852827683764e-5,-0.19431557325642976,-0.4199486256357364,-0.8759146016119549,-Inf
0.4676767676767677,0.8818181818181818,0.020202020202020204,0.37373737373737376,4.6464646464646464e-5,0.7892190749785493,0.7252177605113882,0.6411228201949967,0.5729774927185302,9.999999999270557e-5,-3.601834643425953e-5,-0.1943105604077426,-0.42008887747958223,-0.875858319008225,-Inf
0.23585858585858585,0.7636363636363637,0.1919191919191919,0.40404040404040403,7.07070707070707e-5,0.791104620666581,0.6996780259777063,0.695656777105541,0.5451158991961036,9.999999993980197e-5,-2.8995512248513097e-5,-0.1943272728772056,-0.42011126181226294,-0.8758457342405855,-Inf
0.5535353535353535,0.7727272727272727,0.25252525252525254,0.04040404040404041,4.6464646464646464e-5,0.7830781179373238,0.6557947065339712,0.7351774361208457,0.49958494070041803,9.99999999751862e-5,-2.839227616730884e-5,-0.19434033789465677,-0.4201293101030586,-0.875834418553166,-Inf
0.2101010101010101,0.8454545454545455,0.0707070707070707,0.45454545454545453,6.96969696969697e-5,0.7809346131608034,0.6494227633643342,0.7363777886515726,0.49312111722660895,9.999999999240793e-5,-2.6956502891935218e-5,-0.1943498230547538,-0.4201347596471624,-0.8758295564816458,-Inf
0.18434343434343434,0.7909090909090909,0.1111111111111111,0.46464646464646464,4.7474747474747476e-5,0.7781072930629297,0.6418932121670805,0.7366254498278678,0.4855102192077403,9.99999999924025e-5,-3.3770585457904545e-5,-0.19433649984945597,-0.4201313537502787,-0.8758324164492147,-Inf
0.36464646464646466,0.45454545454545453,0.010101010101010102,0.3939393939393939,6.363636363636364e-5,0.7892823751199514,0.6814058995200859,0.7195407341362615,0.5258871647134331,9.999999999149711e-5,-2.6047133718415236e-5,-0.1943335948203681,-0.4201195480915894,-0.8758417285319047,-Inf
0.2101010101010101,0.509090909090909,0.13131313131313133,0.18181818181818182,2.2222222222222223e-5,0.5576771822793396,0.8541387701259291,0.09806234712728533,0.6931628837460934,9.970900750153154e-5,-6.026980318078437e-5,-0.1942833841780631,-0.4199484860304046,-0.8758739641887063,-Inf
0.24444444444444444,0.5909090909090909,0.16161616161616163,0.41414141414141414,6.0606060606060605e-5,0.7906815323260437,0.6926140684149802,0.7062961582200121,0.5376246601347036,9.99999998848597e-5,-3.081103157361649e-5,-0.1943155864511816,-0.4201077520536862,-0.8758508561705748,-Inf
0.6308080808080808,0.6636363636363637,0.050505050505050504,0.0,8.787878787878787e-5,0.7894148844426697,0.7241656578441182,0.6438804202176113,0.5718013693672857,9.999999996467668e-5,-3.605172020935406e-5,-0.19431187565479952,-0.42009067000741357,-0.8758568941188241,-Inf
0.15858585858585858,0.5818181818181818,0.0707070707070707,0.42424242424242425,8.98989898989899e-5,0.7911549391557271,0.7016223503317702,0.6924018961452322,0.5471921132216895,9.999999999042497e-5,-2.9041868853857512e-5,-0.19432500604152095,-0.4201088804636566,-0.8758476972910958,-Inf
0.4762626262626263,0.7636363636363637,0.10101010101010101,0.3333333333333333,1.01010101010101e-6,0.7855340582629321,0.7390937087827228,0.6007147839829334,0.5887673982349172,9.999999999300991e-5,-4.3393307075176196e-5,-0.19430522432637154,-0.42007710536933346,-0.8758610065070924,-Inf
0.3303030303030303,0.6272727272727273,0.23232323232323232,0.3434343434343434,7.07070707070707e-5,0.7856838695115173,0.6647027128569115,0.7318231868798779,0.5086669818494399,9.999999998522863e-5,-2.559304538853671e-5,-0.19434361160513333,-0.42012872729180395,-0.8758346525505347,-Inf
