u0,lastpont,LSE
"[0.6651515151515152, 0.8545454545454545, 1.0, 0.5252525252525253, 8.585858585858586e-5]","[0.16715879870763317, 0.40104671559324945, 0.012178495837128378, 0.02431959195136148, 3.4743012010806317e-19]","[-0.00012504691077172848, -0.19422220549708194, -0.42030066709831804, -0.8757674706659593, -Inf]"
"[0.2101010101010101, 0.8, 0.7070707070707071, 0.6262626262626263, 3.838383838383838e-5]","[0.19793438357549994, 0.37192599693392026, 0.037468799112056285, 0.02809793653802789, 7.40020603031168e-18]","[-0.00020112354870651316, -0.19429734664056, -0.42022941027784166, -0.8756786959662709, -Inf]"
"[0.5277777777777778, 0.7545454545454545, 0.1111111111111111, 0.7575757575757576, 8.484848484848485e-5]","[0.3458485983678036, 0.37135067668630034, 0.20826087611239816, 0.10968558469332822, 1.7771019754149515e-11]","[-0.0006716437384102982, -0.19436831139546346, -0.42012261180633187, -0.8751795513313555, -Inf]"
"[0.751010101010101, 0.6363636363636364, 0.8686868686868687, 0.6666666666666666, 6.666666666666667e-5]","[0.15993181335006945, 0.42117884026327285, 0.006634231880632815, 0.02574051390916979, 1.6938848185073914e-19]","[-0.00013115580172293206, -0.1941688257324666, -0.4203179474811838, -0.8757978121514669, -Inf]"
"[0.9914141414141414, 0.7909090909090909, 0.030303030303030304, 0.6060606060606061, 8.686868686868687e-5]","[0.2053015240952553, 0.36897668597308186, 0.04411706022362554, 0.029902972438342442, 1.5385395651409608e-17]","[-0.00022385660774184159, -0.19430417073673664, -0.4202153292016696, -0.8756606188174522, -Inf]"
"[0.3904040404040404, 0.7181818181818181, 0.6767676767676768, 0.6666666666666666, 5.4545454545454546e-5]","[0.18153426092192185, 0.38232613507189483, 0.023531283064153776, 0.025112918536272778, 1.450289379263448e-18]","[-0.0001538201887463901, -0.19427138879701492, -0.4202652499774734, -0.8757214345073356, -Inf]"
"[0.9914141414141414, 0.13636363636363635, 0.46464646464646464, 0.6464646464646465, 8.282828282828283e-5]","[0.15477681305696545, 0.45871419883631054, 0.0023888824061723043, 0.031243544096371506, 1.0151754170421947e-19]","[-0.00019108565733570414, -0.19407220202523892, -0.4203262760209985, -0.875822853103933, -Inf]"
"[0.4676767676767677, 0.7272727272727273, 0.030303030303030304, 0.7777777777777778, 3.3333333333333335e-5]","[0.36847320846916565, 0.37636326886022103, 0.2378496032455233, 0.12722569858706753, 1.687484713253322e-10]","[-0.0006026895301426228, -0.19452702646096837, -0.42012222224419427, -0.8750781399724336, -Inf]"
"[0.7338383838383838, 0.9090909090909091, 0.6060606060606061, 0.1414141414141414, 5.252525252525252e-5]","[0.2446589848014042, 0.361842529600583, 0.0837561545502891, 0.04388318604857336, 7.665310650220421e-16]","[-0.00035869202532612767, -0.19431019951693046, -0.4201607408131719, -0.8755591644951822, -Inf]"
"[0.9742424242424242, 0.8090909090909091, 0.8080808080808081, 0.08080808080808081, 7.676767676767676e-5]","[0.1679844015708297, 0.3994683130933859, 0.012813951855087468, 0.024280531189879294, 3.7714715829044694e-19]","[-0.00012584397554976314, -0.19422639708068226, -0.42029860035939204, -0.8757644109806287, -Inf]"
