u0,lastpont,LSE
"[0.5535353535353535, 0.8090909090909091, 0.0707070707070707, 0.010101010101010102, 2.8282828282828282e-5]","[0.4151109574897886, 0.8450415324208643, 0.03355829361521554, 0.5097203713848394, 2.1865350499118677e-8]","[-0.0005568394373939556, -0.19410554030584362, -0.4197073611083337, -0.8755945809089822, -Inf]"
"[0.6050505050505051, 0.5181818181818182, 0.9191919191919192, 0.494949494949495, 3.838383838383838e-5]","[0.1561572140407007, 0.44294909620871703, 0.0036266878982597352, 0.028578090881437725, 1.1641844012968583e-19]","[-0.00016062299222288623, -0.1941121706113273, -0.42032494583349256, -0.875816511619173, -Inf]"
"[0.5964646464646465, 0.8727272727272727, 0.2222222222222222, 0.2727272727272727, 1.4141414141414141e-5]","[0.7757159649960399, 0.636097282043696, 0.7360220628669399, 0.47966692256553095, 9.999999999988975e-5]","[-4.39280670409017e-6, -0.19494954976894224, -0.4201607905241677, -0.8746186414577295, -Inf]"
"[0.7595959595959596, 0.7090909090909091, 0.0, 0.5959595959595959, 6.161616161616162e-5]","[0.3047444132501102, 0.3644753536335868, 0.15524103509753184, 0.07905211211057053, 2.9891707199498423e-13]","[-0.0008109125484012828, -0.1940695889061533, -0.4201278023462684, -0.8753541176710461, -Inf]"
"[0.16717171717171717, 0.6, 0.31313131313131315, 0.5252525252525253, 2.2222222222222223e-5]","[0.6785044492779146, 0.5154453385942152, 0.6215349351369374, 0.3545412962188226, 9.99999979858916e-5]","[-0.0003688405287555949, -0.195189532485748, -0.4202246029068222, -0.8742547437916501, -Inf]"
"[0.21868686868686868, 0.8818181818181818, 0.4444444444444444, 0.3939393939393939, 5.252525252525252e-5]","[0.7241005949854147, 0.557697376199266, 0.6793439795642303, 0.40006449503938013, 9.999999997970023e-5]","[-0.0002453953542428192, -0.19513980105694617, -0.4202049993994307, -0.8743472972820507, -Inf]"
"[0.7424242424242424, 0.10909090909090909, 0.6262626262626263, 1.0, 1.1111111111111112e-5]","[0.15506234986832973, 0.45456809838678974, 0.0026627348958166096, 0.030497545231096056, 1.0443229233022094e-19]","[-0.000182507260448159, -0.1940826200007012, -0.420326114108399, -0.8758217081557891, -Inf]"
"[0.4762626262626263, 0.8454545454545455, 0.24242424242424243, 0.3939393939393939, 9.09090909090909e-5]","[0.7697081894887339, 0.6231648594867033, 0.7324479544249969, 0.4666569267731639, 9.999999999979742e-5]","[-4.06821489579607e-5, -0.19499082303477105, -0.42016917577041357, -0.8745675894961966, -Inf]"
"[0.4590909090909091, 0.6909090909090909, 0.5757575757575758, 0.6868686868686869, 3.0303030303030302e-5]","[0.18640849391506364, 0.3784933662443352, 0.027553503572529555, 0.025832342968180308, 2.3541865606954694e-18]","[-0.00016715374113183238, -0.19428116212755506, -0.4202539765590264, -0.8757081099765693, -Inf]"
"[0.8282828282828283, 0.9181818181818182, 0.4444444444444444, 0.10101010101010101, 1.2121212121212122e-5]","[0.3470678360201751, 0.3716008041249378, 0.2098530713796819, 0.11062750241208212, 2.0061879508371603e-11]","[-0.0006660282776698285, -0.1943787650318619, -0.42012255664870785, -0.8751741357540219, -Inf]"
"[0.8626262626262626, 0.5636363636363636, 0.36363636363636365, 0.1919191919191919, 3.6363636363636364e-5]","[0.15556507663760152, 0.44860220365176806, 0.0031175790763140468, 0.029479848591281832, 1.0977279460714113e-19]","[-0.00017084276205435196, -0.19409772856487986, -0.42032566564904983, -0.875819417764217, -Inf]"
"[0.4762626262626263, 0.37272727272727274, 0.29292929292929293, 0.9090909090909091, 2.0202020202020203e-5]","[0.1721097330069697, 0.3927902819620109, 0.01601382444702641, 0.024286072659260475, 5.683431193341402e-19]","[-0.00013202661787096981, -0.1942440781089408, -0.4202882529017438, -0.8757500521779455, -Inf]"
"[0.3560606060606061, 0.3181818181818182, 0.9292929292929293, 1.0, 1.313131313131313e-5]","[0.15565716955900483, 0.4476421798631651, 0.003198282391702682, 0.029322349686109205, 1.1078067085157794e-19]","[-0.00016904705093000096, -0.19410017263132365, -0.420325565598364, -0.8758189758355, -Inf]"
"[0.9484848484848485, 0.3181818181818182, 0.9292929292929293, 0.7474747474747475, 4.6464646464646464e-5]","[0.15476927994637785, 0.458833875034534, 0.002381440217385738, 0.031265541500955334, 1.0144178350176064e-19]","[-0.00019133858697383655, -0.19407190232203764, -0.4203262791417869, -0.8758228808828279, -Inf]"
"[0.15858585858585858, 0.6545454545454545, 0.25252525252525254, 0.98989898989899, 6.96969696969697e-5]","[0.23531396273883276, 0.3626177906177253, 0.07373560405807207, 0.03989816778734111, 3.0309358618192254e-16]","[-0.00032363426737650944, -0.19431326618936848, -0.42017075401855186, -0.8755849091875296, -Inf]"
"[0.6994949494949495, 0.9545454545454546, 0.9494949494949495, 0.2222222222222222, 8.888888888888889e-5]","[0.18358843128082195, 0.3806122919603506, 0.02521450941821712, 0.025396257579999113, 1.7787760461962237e-18]","[-0.0001593294268546165, -0.19427578023604072, -0.42026043913928834, -0.875715728034823, -Inf]"
"[0.502020202020202, 0.18181818181818182, 0.1919191919191919, 0.7676767676767676, 2.7272727272727273e-5]","[0.16122219828023446, 0.4163646397603852, 0.007628747153786306, 0.025272764369892408, 1.9256704405345897e-19]","[-0.00012739221273747517, -0.19418153896290255, -0.4203150641737307, -0.8757918540839519, -Inf]"
"[0.5878787878787879, 0.12727272727272726, 0.1111111111111111, 0.6767676767676768, 4.0404040404040405e-5]","[0.1585613315558836, 0.4273525287186687, 0.005567029145064397, 0.026432943633041585, 1.4782113131729066e-19]","[-0.00013763084705026678, -0.19415260751780766, -0.42032080791151893, -0.8758044232749134, -Inf]"
"[0.17575757575757575, 0.39090909090909093, 0.25252525252525254, 0.898989898989899, 4.4444444444444447e-5]","[0.2670377903847413, 0.3615005307220361, 0.10911482082371489, 0.05513524473312222, 7.070115015789326e-15]","[-0.00045942110975219513, -0.1942858585246708, -0.42014300772857155, -0.8754911223277668, -Inf]"
"[0.9742424242424242, 0.33636363636363636, 0.98989898989899, 0.4444444444444444, 9.090909090909091e-6]","[0.1541324048692823, 0.47257402777670354, 0.0016717298410869948, 0.03396126899859193, 9.524686080115194e-20]","[-0.00022211290408038266, -0.1940378745553642, -0.42032620824431716, -0.8758242082897568, -Inf]"
"[0.25303030303030305, 0.9454545454545454, 0.06060606060606061, 0.9696969696969697, 9.797979797979798e-5]","[0.24352863954161613, 0.3619138123543892, 0.08252517382395089, 0.043378753416168425, 6.851591084050708e-16]","[-0.00035429299776355995, -0.1943107463285876, -0.4201618634217491, -0.8755623546049205, -Inf]"
"[0.6737373737373737, 0.41818181818181815, 0.3939393939393939, 0.7676767676767676, 7.979797979797979e-5]","[0.16081772328449684, 0.41778907668197557, 0.007317726284626469, 0.025404088171894372, 1.8497909115550615e-19]","[-0.00012837828456568523, -0.1941777720529049, -0.4203159837503856, -0.8757936936582902, -Inf]"
"[0.7681818181818182, 0.18181818181818182, 0.0707070707070707, 0.5959595959595959, 9.898989898989899e-5]","[0.15727044386422767, 0.4346770110199813, 0.004541809689627815, 0.027374392686813517, 1.300280760187245e-19]","[-0.00014737069668497546, -0.19413351442621832, -0.42032321636434294, -0.8758108811811788, -Inf]"
"[0.37323232323232325, 0.4090909090909091, 0.050505050505050504, 0.5050505050505051, 6.565656565656565e-5]","[0.6482643468107366, 0.49336343831048957, 0.5842270269595433, 0.3291058823332189, 9.999995767002224e-5]","[-0.00042575854460106806, -0.195198955422891, -0.42022740956534066, -0.8742351478217236, -Inf]"
"[0.6823232323232323, 0.5636363636363636, 0.7272727272727273, 0.6363636363636364, 2.2222222222222223e-5]","[0.1600880220685036, 0.42055158679162025, 0.0067550248418317095, 0.025675805341463884, 1.7203869502434836e-19]","[-0.0001305977771033793, -0.19417047916019553, -0.42031760681238484, -0.8757970769986827, -Inf]"
"[0.2015151515151515, 0.43636363636363634, 0.16161616161616163, 0.7373737373737373, 9.696969696969698e-5]","[0.4363158074801409, 0.3953961639702542, 0.32562659234514896, 0.17835036778948246, 1.454700656324967e-7]","[-0.0005561649583969513, -0.1948257164238735, -0.4201288102327024, -0.8747790174604944, -Inf]"
"[0.9570707070707071, 0.9272727272727272, 0.5959595959595959, 0.3333333333333333, 1.2121212121212122e-5]","[0.1986449819760748, 0.3716064690295233, 0.03809935704675114, 0.028260515156431743, 7.94155825067206e-18]","[-0.00020328890975696026, -0.19429810542151416, -0.4202279964578302, -0.8756769392617697, -Inf]"
"[0.5792929292929293, 0.3, 0.32323232323232326, 0.23232323232323232, 5.555555555555556e-5]","[0.15391655470823382, 0.48185754571215905, 0.0013225625377916324, 0.03597159363100557, 9.32470375433462e-20]","[-0.0002445422112373884, -0.19401531717366613, -0.4203258573198302, -0.8758231537924586, -Inf]"
"[0.9656565656565657, 0.8545454545454545, 0.010101010101010102, 0.030303030303030304, 9.191919191919192e-5]","[0.7107622277434417, 0.5438531838423079, 0.6622789781061965, 0.38549291917078327, 9.99999999220418e-5]","[-0.0002875109382393329, -0.19516001780236278, -0.4202123593152882, -0.8743112541028019, -Inf]"
"[0.751010101010101, 0.15454545454545454, 0.8282828282828283, 0.25252525252525254, 1.2121212121212122e-5]","[0.1538823783283303, 0.5008870162418467, 0.0008289595077588339, 0.04057188336425599, 9.29854009487426e-20]","[-0.0002934784195781786, -0.19397019172926766, -0.42032498284265196, -0.8758166393705096, -Inf]"
"[0.8111111111111111, 0.45454545454545453, 0.3838383838383838, 0.797979797979798, 8.383838383838384e-5]","[0.15982514356354574, 0.4216150930307124, 0.006551666571660123, 0.0257861569540086, 1.6760225791065044e-19]","[-0.00013155530920951606, -0.19416767635243462, -0.42031817860260673, -0.8757983163652984, -Inf]"
"[0.8797979797979798, 0.34545454545454546, 0.020202020202020204, 0.8181818181818182, 2.5252525252525253e-5]","[0.16273151622930368, 0.4116002569758382, 0.008785973292690442, 0.02488047891333681, 2.237359330927824e-19]","[-0.00012494474987236794, -0.1941941648496798, -0.4203115344085315, -0.8757852081032406, -Inf]"
"[0.9570707070707071, 0.45454545454545453, 0.8787878787878788, 0.0707070707070707, 1.616161616161616e-5]","[0.15393648103189392, 0.505065032445833, 0.0007502381803636492, 0.041670168932463655, 9.350077551510724e-20]","[-0.00030462451103193295, -0.19396048777028438, -0.42032482232818835, -0.8758144953526859, -Inf]"
"[0.9141414141414141, 0.14545454545454545, 0.8484848484848485, 0.36363636363636365, 1.4141414141414141e-5]","[0.15384460724618135, 0.48918632579958277, 0.0011023331519653583, 0.03766629176203126, 9.260189943327212e-20]","[-0.0002629810581673173, -0.19399775963400348, -0.42032551503353877, -0.875821304924529, -Inf]"
"[0.4505050505050505, 0.32727272727272727, 0.8383838383838383, 0.7777777777777778, 1.01010101010101e-6]","[0.15562205408690788, 0.4480042046733755, 0.003167587437992761, 0.029381535587797124, 1.10395264808069e-19]","[-0.00016972143231451487, -0.19409925056119565, -0.42032560432154054, -0.8758191449256253, -Inf]"
"[0.4676767676767677, 0.5454545454545454, 0.3939393939393939, 0.21212121212121213, 8.585858585858586e-5]","[0.1901653998001791, 0.37602549560276205, 0.030721691635715313, 0.02649008547374328, 3.4196769978196532e-18]","[-0.0001779370942212917, -0.194287348584914, -0.4202456359216439, -0.8756982734245736, -Inf]"
"[0.44191919191919193, 0.37272727272727274, 0.3939393939393939, 0.5151515151515151, 7.272727272727273e-5]","[0.16101569298164997, 0.41708306577901605, 0.007470021174668964, 0.02533823007408647, 1.886548706182729e-19]","[-0.00012787565009059716, -0.1941796385759202, -0.42031553528771975, -0.8757927901140461, -Inf]"
"[0.6050505050505051, 0.9818181818181818, 0.25252525252525254, 0.7676767676767676, 3.535353535353535e-5]","[0.30558372348336865, 0.36458206503646645, 0.1563032745455333, 0.0796424109087441, 3.2490631648510357e-13]","[-0.0008285272042244958, -0.19405511909277118, -0.42012760944816874, -0.8753507703185758, -Inf]"
"[0.2702020202020202, 0.7454545454545455, 0.8282828282828283, 0.8888888888888888, 5.050505050505051e-6]","[0.16731334346887625, 0.40074386387677313, 0.012297344849908494, 0.02431105112682, 3.5280891539950176e-19]","[-0.00012518207230281442, -0.1942230099606361, -0.4203002806736918, -0.8757668926323653, -Inf]"
"[0.19292929292929292, 0.6909090909090909, 0.6464646464646465, 0.8888888888888888, 3.131313131313131e-5]","[0.1843143026439855, 0.38004249448078087, 0.025813405817910848, 0.025503478054433204, 1.9118421650565046e-18]","[-0.00016131705938980496, -0.19427723301062888, -0.4202587596758211, -0.8757137449256117, -Inf]"
"[0.43333333333333335, 0.7363636363636363, 0.40404040404040403, 0.5050505050505051, 4.04040404040404e-6]","[0.34256547868981263, 0.3706891543870175, 0.20397631642043454, 0.1071537928065584, 1.2821061859765815e-11]","[-0.000688474527058701, -0.19433846533678123, -0.4201227819813342, -0.8751940907754769, -Inf]"
"[0.38181818181818183, 0.12727272727272726, 0.6060606060606061, 0.9494949494949495, 8.080808080808081e-5]","[0.15582568297892493, 0.4459692616799784, 0.00334435734137525, 0.02905212540214992, 1.1264915419261045e-19]","[-0.00016597534654553083, -0.19410443998646001, -0.4203253704486076, -0.8758181557905647, -Inf]"
"[0.19292929292929292, 0.4818181818181818, 0.8686868686868687, 0.8383838383838383, 4.545454545454545e-5]","[0.16327658444482954, 0.41005972147899017, 0.009203190204298491, 0.024770293383827417, 2.3619249606272603e-19]","[-0.0001244550358197653, -0.19419825432051935, -0.42031022936059315, -0.8757828891948197, -Inf]"
"[0.8282828282828283, 0.16363636363636364, 0.9393939393939394, 0.09090909090909091, 8.585858585858586e-5]","[0.15440275680225835, 0.5235315736448953, 0.0004908460372932468, 0.046923560604460436, 9.801095462057073e-20]","[-0.0003550395467673418, -0.19391849999297003, -0.42032446541774693, -0.8758022780554079, -Inf]"
"[0.4075757575757576, 0.8909090909090909, 0.030303030303030304, 0.7575757575757576, 7.474747474747475e-5]","[0.4082449442926389, 0.3868606533387324, 0.289619621439246, 0.15763308212547428, 8.862844572187041e-9]","[-0.0005633578754256571, -0.19471917071609707, -0.4201245229596791, -0.8749002019233983, -Inf]"
"[0.31313131313131315, 0.8909090909090909, 0.5656565656565656, 0.8282828282828283, 9.292929292929293e-5]","[0.2140772695690752, 0.36633432466897065, 0.0523588649953245, 0.032389069390246925, 3.6786273996979815e-17]","[-0.0002516970298053259, -0.19430969837934461, -0.42020021218896486, -0.8756391522201921, -Inf]"
"[0.4762626262626263, 1.0, 0.7474747474747475, 0.6767676767676768, 0.0001]","[0.18523719495677382, 0.3793430277264154, 0.026577998936839146, 0.025644901165936623, 2.095492560117094e-18]","[-0.0001638714861140005, -0.19427901097958772, -0.4202566402807197, -0.8757112464784937, -Inf]"
"[0.9742424242424242, 0.4636363636363636, 0.8282828282828283, 0.8585858585858586, 6.161616161616162e-5]","[0.15573518740935718, 0.4468548196652324, 0.0032661549224810424, 0.029194495982231124, 1.116418164048719e-19]","[-0.00016759213321650363, -0.19410217974385738, -0.42032547712334467, -0.8758185978322606, -Inf]"
"[0.2873737373737374, 0.6727272727272727, 0.7575757575757576, 1.0, 5.252525252525252e-5]","[0.16628244394380648, 0.4028334717480182, 0.011505353838153789, 0.02437959535702111, 3.184440432617304e-19]","[-0.00012441455424430946, -0.19421745783442226, -0.4203028530644974, -0.8757707964840862, -Inf]"
"[0.7853535353535354, 0.8, 0.8888888888888888, 0.9393939393939394, 3.939393939393939e-5]","[0.16026953290773727, 0.41983937735218924, 0.006895221486265544, 0.02560366283735872, 1.7517035650787646e-19]","[-0.0001299879895344596, -0.19417235768173274, -0.4203172078007893, -0.8757962275890859, -Inf]"
"[0.502020202020202, 0.20909090909090908, 0.6464646464646465, 0.3434343434343434, 3.434343434343434e-5]","[0.15390522001141171, 0.4826240943805485, 0.0012974497374473055, 0.0361443858072881, 9.314398392752038e-20]","[-0.00024644298912908933, -0.19401347037588854, -0.42032582299150667, -0.875823001186978, -Inf]"
"[0.23585858585858585, 0.18181818181818182, 0.3939393939393939, 0.5757575757575758, 7.575757575757576e-5]","[0.15651658994981194, 0.4400071904325871, 0.003926743673554923, 0.028133800573343363, 1.206478383530837e-19]","[-0.00015566266664598517, -0.1941197333283457, -0.4203244331965823, -0.875814702261219, -Inf]"
"[0.17575757575757575, 0.5272727272727272, 0.40404040404040403, 0.21212121212121213, 3.232323232323232e-5]","[0.33800612977826794, 0.3698001752282688, 0.19803456338049427, 0.10365148644320064, 8.147874337795425e-12]","[-0.000717005216650866, -0.19429190228903662, -0.4201230734492251, -0.8752141631029606, -Inf]"
"[0.8025252525252525, 0.2909090909090909, 0.5959595959595959, 0.8787878787878788, 9.898989898989899e-5]","[0.15586422663211355, 0.4456006434808128, 0.0033775043707896402, 0.02899331103896257, 1.1308097591278027e-19]","[-0.0001653085578704344, -0.19410538169710173, -0.4203253237459211, -0.8758179664810379, -Inf]"
"[0.7595959595959596, 0.5818181818181818, 0.050505050505050504, 0.06060606060606061, 4.0404040404040405e-5]","[0.15850885784347943, 0.42761698499097006, 0.0055258239721218015, 0.026464754311215206, 1.470523898078162e-19]","[-0.00013794572850435232, -0.19415191521037772, -0.42032091205678074, -0.8758046819184239, -Inf]"
"[0.9742424242424242, 0.6090909090909091, 0.5050505050505051, 0.6868686868686869, 4.242424242424242e-5]","[0.1603532684509837, 0.4195166285428971, 0.00695984312594733, 0.025571442048714706, 1.766342413570315e-19]","[-0.00012972011757996925, -0.1941732093568565, -0.42031702262635595, -0.8757958374818744, -Inf]"
"[0.49343434343434345, 0.8818181818181818, 0.8282828282828283, 0.42424242424242425, 9.393939393939393e-5]","[0.18398813185780108, 0.3802963374202237, 0.025544023529309855, 0.025454854719438216, 1.8508601047737346e-18]","[-0.00016042148239387504, -0.19427658627869962, -0.42025951299182335, -0.8757146340105281, -Inf]"
"[0.751010101010101, 0.8454545454545455, 0.6060606060606061, 0.8787878787878788, 9.090909090909091e-6]","[0.1683127401716668, 0.39886646703438805, 0.013067063474032616, 0.02426929618556817, 3.8966021012284997e-19]","[-0.0001262096613874585, -0.19422799448881087, -0.4202977770939719, -0.8757632130202723, -Inf]"
"[0.7595959595959596, 0.11818181818181818, 0.1919191919191919, 0.3939393939393939, 2.8282828282828282e-5]","[0.15418288918552897, 0.47104914890571825, 0.0017379564505094279, 0.033645585382571945, 9.572260353017615e-20]","[-0.0002185430760671733, -0.19404161336610856, -0.42032624916012573, -0.8758242364671883, -Inf]"
"[0.7252525252525253, 0.6636363636363637, 0.42424242424242425, 0.9797979797979798, 1.5151515151515151e-5]","[0.16838471631537705, 0.39873640302103325, 0.013122580623081633, 0.024267143454420995, 3.9245824288446173e-19]","[-0.00012629329823100587, -0.19422833963018019, -0.42029759654925614, -0.8757629518035306, -Inf]"
"[0.17575757575757575, 0.6090909090909091, 0.5151515151515151, 0.36363636363636365, 5.6565656565656563e-5]","[0.29443498127088547, 0.3632961824784636, 0.14229847949309735, 0.07197992164740413, 1.0736380576165579e-13]","[-0.000660957072799169, -0.19418140594121996, -0.42013059545098236, -0.8753942573650793, -Inf]"
"[0.6136363636363636, 0.1, 0.9797979797979798, 0.8686868686868687, 6.0606060606060605e-5]","[0.1543562350133726, 0.4666230051732357, 0.0019465631208985298, 0.03275253428481782, 9.737660511002806e-20]","[-0.00020838666639073293, -0.19405251907626903, -0.4203263287192363, -0.8758240758715178, -Inf]"
"[0.8712121212121212, 0.2909090909090909, 0.3939393939393939, 0.7474747474747475, 5.252525252525252e-5]","[0.15652493072319704, 0.4399424267641793, 0.003933646069604039, 0.02812421737071025, 1.2074781172569927e-19]","[-0.00015555641427720886, -0.19411990016962663, -0.42032442072341514, -0.8758146600757293, -Inf]"
"[0.30454545454545456, 0.8, 0.494949494949495, 0.7676767676767676, 4.04040404040404e-6]","[0.24556158728359667, 0.36178978037887455, 0.0847427697691996, 0.044290424750497916, 8.383936724259358e-16]","[-0.0003622403191606058, -0.19430972523454706, -0.42015986132736244, -0.8755566012965941, -Inf]"
"[0.7767676767676768, 0.7090909090909091, 0.5151515151515151, 0.6363636363636364, 8.98989898989899e-5]","[0.1756024245817833, 0.3883060164238529, 0.018762753918209286, 0.024486566184372012, 8.042525178840418e-19]","[-0.00013922231320731663, -0.19425586428494537, -0.4202795779786234, -0.8757388861842664, -Inf]"
"[0.8196969696969697, 0.6636363636363637, 0.5757575757575758, 0.010101010101010102, 4.7474747474747476e-5]","[0.15432879515589656, 0.4672584624594492, 0.0019150375105695323, 0.03287861778219517, 9.711270984169397e-20]","[-0.00020982524606808596, -0.19405094848597546, -0.4203263213236946, -0.875824121446296, -Inf]"
"[0.6823232323232323, 0.7454545454545455, 0.7676767676767676, 0.42424242424242425, 3.7373737373737376e-5]","[0.17494396915657623, 0.3890865342551059, 0.018241391932307772, 0.024437718331645885, 7.532983457246948e-19]","[-0.0001377653802478096, -0.19425381993252877, -0.4202812026430395, -0.8757409326910914, -Inf]"
"[1.0, 0.9272727272727272, 0.0, 0.7373737373737373, 8.181818181818182e-5]","[0.2053886980464386, 0.3689461994694056, 0.04419720366267128, 0.029925890247239028, 1.5519209710168887e-17]","[-0.0002241291434861501, -0.1943042386401765, -0.42021517021915866, -0.8756604060048262, -Inf]"
"[0.544949494949495, 0.5363636363636364, 0.797979797979798, 0.8686868686868687, 7.979797979797979e-5]","[0.16016853730263664, 0.4202335003530257, 0.006817234406792871, 0.02564340904550697, 1.7342087301928136e-19]","[-0.00013032227824402677, -0.19417131799471576, -0.4203174302273817, -0.8757966995748481, -Inf]"
"[0.2101010101010101, 0.5545454545454546, 0.2727272727272727, 0.42424242424242425, 4.04040404040404e-6]","[0.7560260995574273, 0.5991202297281903, 0.7189099828089575, 0.4424557137556221, 9.99999999991918e-5]","[-0.00011453645934148178, -0.195056595723159, -0.4201825073732933, -0.8744785265428695, -Inf]"
"[0.9227272727272727, 0.6272727272727273, 0.898989898989899, 0.20202020202020202, 8.181818181818182e-5]","[0.15481274754382676, 0.45815152531419207, 0.0024242081193093807, 0.031140467973568644, 1.0187972590788981e-19]","[-0.00018990036592672984, -0.1940736118810219, -0.42032626024690123, -0.8758227185781243, -Inf]"
"[0.9914141414141414, 0.9272727272727272, 0.5656565656565656, 0.1111111111111111, 6.161616161616162e-5]","[0.23200240655476653, 0.36300197482372915, 0.07027214625139111, 0.03858678113039616, 2.181599327865181e-16]","[-0.00031182885231928947, -0.1943136196633557, -0.42017471590567473, -0.8755937116497648, -Inf]"
"[0.7595959595959596, 0.6727272727272727, 0.6767676767676768, 0.29292929292929293, 1.1111111111111112e-5]","[0.1650815321177372, 0.4054948990909771, 0.01058473366906519, 0.02449747984767201, 2.826098848366133e-19]","[-0.0001239683912714485, -0.19421038360503787, -0.4203058283277438, -0.8757754941342111, -Inf]"
"[0.37323232323232325, 0.37272727272727274, 0.98989898989899, 0.16161616161616163, 2.7272727272727273e-5]","[0.15387301876084777, 0.4999472210290242, 0.000847907365961225, 0.04032929131397141, 9.289591036593647e-20]","[-0.0002909879759625576, -0.19397238472419548, -0.42032502181743786, -0.8758170880257965, -Inf]"
"[0.5792929292929293, 0.2818181818181818, 0.09090909090909091, 0.7070707070707071, 7.474747474747475e-5]","[0.1684225924339268, 0.39866822423740694, 0.013151800172740341, 0.02426605459173518, 3.939387152250312e-19]","[-0.000126337801097811, -0.19422852054047368, -0.42029750153155804, -0.8757628145418979, -Inf]"
"[0.5964646464646465, 0.4909090909090909, 0.98989898989899, 0.020202020202020204, 3.434343434343434e-5]","[0.15404604679169298, 0.5109534447801551, 0.0006531877748600523, 0.04327368467336554, 9.454584746894881e-20]","[-0.0003205186661799148, -0.19394693793600115, -0.4203246390634212, -0.8758110717495239, -Inf]"
"[0.6651515151515152, 0.4090909090909091, 0.797979797979798, 0.1111111111111111, 3.434343434343434e-5]","[0.1538895127176477, 0.5015413533740275, 0.0008160443528512682, 0.04074175152475819, 9.305349516360479e-20]","[-0.0002952161574642602, -0.19396866705347665, -0.4203249562819908, -0.8758163196298232, -Inf]"
"[0.6909090909090909, 0.37272727272727274, 0.5555555555555556, 0.2727272727272727, 8.585858585858586e-5]","[0.15405590773830116, 0.4751986908402803, 0.0015639724453881067, 0.03451423061191247, 9.453136668256778e-20]","[-0.0002283368779273478, -0.19403146136243565, -0.42032612465054325, -0.8758240620805697, -Inf]"
"[0.26161616161616164, 0.7, 0.3333333333333333, 0.6464646464646465, 5.6565656565656563e-5]","[0.48753941275852186, 0.4132044888365954, 0.38984954480154127, 0.21460384259329757, 1.9459361518679536e-5]","[-0.0005501876356615295, -0.1949843810387739, -0.42014473890067394, -0.87457467901969, -Inf]"
"[0.7853535353535354, 0.21818181818181817, 0.4444444444444444, 0.9797979797979798, 5.0505050505050505e-5]","[0.15624596799856252, 0.4421933879083699, 0.0037013083765290895, 0.02846229943342169, 1.17448889983133e-19]","[-0.00015932424064900587, -0.1941141102762565, -0.4203248239389892, -0.8758160666566134, -Inf]"
"[0.15, 0.6909090909090909, 0.0707070707070707, 0.08080808080808081, 2.2222222222222223e-5]","[0.2969382819598358, 0.8080173252877135, 0.010020291442625992, 0.34197113174184246, 1.5784575123079421e-13]","[-0.0009227894414282876, -0.19374729419696726, -0.4200847693439449, -0.8753846152124344, -Inf]"
"[0.6737373737373737, 0.5636363636363636, 0.1919191919191919, 0.3333333333333333, 6.262626262626262e-5]","[0.19568107205535093, 0.37299559329495496, 0.035484284343456386, 0.02759915965206643, 5.9157732761911806e-18]","[-0.0001943011253628447, -0.19429478128564254, -0.42023397185257805, -0.8756842963788931, -Inf]"
"[0.398989898989899, 0.7727272727272727, 0.5656565656565656, 0.7373737373737373, 3.6363636363636364e-5]","[0.19884628709495483, 0.37151743086363803, 0.038278400824225595, 0.028307027399547532, 8.101992545308026e-18]","[-0.0002039034798663718, -0.19429831617505056, -0.4202275980944658, -0.8756764423167345, -Inf]"
"[0.8454545454545455, 0.22727272727272727, 0.29292929292929293, 0.898989898989899, 7.0707070707070704e-6]","[0.15707826629389252, 0.43594468715543466, 0.004386508050274531, 0.02754954205922432, 1.2756944146797969e-19]","[-0.00014925705087300313, -0.1941302278746807, -0.4203235424570159, -0.8758118549191213, -Inf]"
"[0.6737373737373737, 0.39090909090909093, 0.7575757575757576, 0.9090909090909091, 7.979797979797979e-5]","[0.1561569312671867, 0.4429515368975988, 0.003626449562167649, 0.028578466695667996, 1.1641517165769385e-19]","[-0.00016062721364844127, -0.19411216435026127, -0.420324946216619, -0.8758165130342728, -Inf]"
"[0.9742424242424242, 0.8, 0.26262626262626265, 0.23232323232323232, 9.595959595959596e-5]","[0.22238179668204894, 0.364498994932402, 0.06048005396655742, 0.035072706705290606, 8.392228692009703e-17]","[-0.0002788953841442778, -0.19431270777729587, -0.420187526443704, -0.8756184893268175, -Inf]"
"[0.49343434343434345, 0.10909090909090909, 0.37373737373737376, 0.47474747474747475, 2.7272727272727273e-5]","[0.15437047106811044, 0.46630116778766806, 0.0019627407998720524, 0.03268895046202471, 9.751382074377176e-20]","[-0.00020766066936785853, -0.19405331514764085, -0.42032633189705504, -0.8758240498683858, -Inf]"
"[0.16717171717171717, 0.12727272727272726, 0.37373737373737376, 0.45454545454545453, 8.383838383838384e-5]","[0.15446765783926744, 0.4642302102020064, 0.0020703375803234826, 0.03228420281711044, 9.84560981993712e-20]","[-0.00020303173063974828, -0.19405844767681255, -0.420326342645453, -0.8758238351331332, -Inf]"
"[0.7166666666666667, 0.15454545454545454, 0.8484848484848485, 0.3838383838383838, 4.4444444444444447e-5]","[0.1538623011927107, 0.48643426328141814, 0.0011800093099216325, 0.037018710335777014, 9.275740480549314e-20]","[-0.00025598951142818277, -0.1940043267115845, -0.4203256462109284, -0.875822100184128, -Inf]"
